"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","api/auth/login -> 200 ok: заходим под существующим пользователем","tests.user_tests","2025-12-05","passed","2025-12-05","TestLoginUser","test_login_user","",""
"","879","api/orders: 200 ok -> успешное получение пустого списка заказов пользователя","tests.order_tests","2025-12-05","passed","2025-12-05","TestGetOrders","test_get_orders","",""
"","169","api/auth/register -> 403 forbidden: нет одного из параметров","tests.user_tests","2025-12-05","passed","2025-12-05","TestCreateUser","test_create_user","",""
"","172","api/auth/register -> 403 forbidden: нет одного из параметров","tests.user_tests","2025-12-05","passed","2025-12-05","TestCreateUser","test_create_user","",""
"","252","api/auth/login -> 401 unauthorized: неверный пароль","tests.user_tests","2025-12-05","passed","2025-12-05","TestLoginUser","test_login_user","",""
"","433","api/auth/user: 403 forbidden -> редактирование пользователя без авторизации","tests.user_tests","2025-12-05","passed","2025-12-05","TestEditUser","test_edit_user","",""
"","173","api/auth/register -> 403 forbidden: создать уже созданного пользователя","tests.user_tests","2025-12-05","passed","2025-12-05","TestCreateUser","test_create_user","",""
"","175","api/auth/login -> 401 unauthorized: отсутствующая почта","tests.user_tests","2025-12-05","failed","2025-12-05","TestLoginUser","test_login_user","",""
"Проверяем успешное получение заказов и структуру ответа","4135","api/orders: 200 ok -> успешное получение списка заказов пользователя","tests.order_tests","2025-12-05","passed","2025-12-05","TestGetOrders","test_get_orders","",""
"Проверяем успешное создание заказа и структуру ответа","3570","api/orders: 200 ok -> успешное создание заказа с ингридиентами","tests.order_tests","2025-12-05","passed","2025-12-05","TestCreateOrder","test_create_order","",""
"","426","api/auth/user: 200 ok -> успешное редактирование данных пользователя","tests.user_tests","2025-12-05","passed","2025-12-05","TestEditUser","test_edit_user","",""
"","167","api/auth/register -> 403 forbidden: нет одного из параметров","tests.user_tests","2025-12-05","passed","2025-12-05","TestCreateUser","test_create_user","",""
"","167","api/auth/user: 401 unauthorised -> редактирование пользователя без авторизации","tests.user_tests","2025-12-05","passed","2025-12-05","TestEditUser","test_edit_user","",""
"","179","api/auth/login -> 401 unauthorized: некорректная почта","tests.user_tests","2025-12-05","failed","2025-12-05","TestLoginUser","test_login_user","",""
"","418","api/orders: 400 bad request -> невозможность создания заказа без ингридиентов","tests.order_tests","2025-12-05","passed","2025-12-05","TestCreateOrder","test_create_order","",""
"","426","api/orders: 500 internal server error -> невозможность добавления в заказ ингридиента с неверным хэшем","tests.order_tests","2025-12-05","passed","2025-12-05","TestCreateOrder","test_create_order","",""
"","174","api/auth/login -> 401 unauthorized: отсутствующий пароль","tests.user_tests","2025-12-05","passed","2025-12-05","TestLoginUser","test_login_user","",""
"","166","api/orders: 401 unauthorized -> получение списка заказов без авторизации","tests.order_tests","2025-12-05","passed","2025-12-05","TestGetOrders","test_get_orders","",""
"","998","api/auth/register -> 200 ok: все поля заполнены","tests.user_tests","2025-12-05","passed","2025-12-05","TestCreateUser","test_create_user","",""
